[rosmaster.main][INFO] 2021-08-28 13:41:52,517: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-08-28 13:41:52,518: Starting ROS Master Node
[xmlrpc][INFO] 2021-08-28 13:41:52,520: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-08-28 13:41:52,521: Started XML-RPC server [http://192.168.1.104:11311/]
[rosmaster.master][INFO] 2021-08-28 13:41:52,521: Master initialized: port[11311], uri[http://192.168.1.104:11311/]
[xmlrpc][INFO] 2021-08-28 13:41:52,522: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-08-28 13:41:52,559: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,563: +PARAM [/roslaunch/uris/host_192_168_1_104__37449] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,738: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.104:36487/
[rosmaster.master][INFO] 2021-08-28 13:41:52,740: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.104:36487/
[rosmaster.master][INFO] 2021-08-28 13:41:52,744: +PUB [/rosout_agg] /rosout http://192.168.1.104:36487/
[rosmaster.master][INFO] 2021-08-28 13:41:52,752: +SUB [/rosout] /rosout http://192.168.1.104:36487/
[rosmaster.master][INFO] 2021-08-28 13:41:52,804: +PARAM [/move_base/TebLocalPlannerROS/feasibility_check_no_poses] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,805: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,805: +PARAM [/move_base/GlobalPlanner/old_navfn_behavior] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,806: +PARAM [/rosky03/nav_cmd_mapper/steer_gain] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,807: +PARAM [/move_base/TebLocalPlannerROS/weight_max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,807: +PARAM [/move_base/TebLocalPlannerROS/include_dynamic_obstacles] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,808: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,809: +PARAM [/move_base/TebLocalPlannerROS/selection_viapoint_cost_scale] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,810: +PARAM [/rf2o_laser_odometry/freq] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,810: +PARAM [/move_base/TebLocalPlannerROS/dt_ref] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,811: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,811: +PARAM [/amcl/laser_z_short] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,811: +PARAM [/ydlidar_node/angle_max] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,811: +PARAM [/move_base/TebLocalPlannerROS/roadmap_graph_area_length_scale] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,812: +PARAM [/move_base/global_costmap/sensor/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,812: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,812: +PARAM [/move_base/global_costmap/track_unknown_space] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,813: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,813: +PARAM [/rosky03/wheels_driver_node/baud] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,813: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,813: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,814: +PARAM [/move_base/TebLocalPlannerROS/max_global_plan_lookahead_dist] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,814: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,814: +PARAM [/amcl/laser_z_rand] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,814: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,815: +PARAM [/move_base/global_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,815: +PARAM [/move_base/TebLocalPlannerROS/optimization_verbose] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,815: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,816: +PARAM [/move_base/TebLocalPlannerROS/no_outer_iterations] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,816: +PARAM [/ydlidar_node/angle_min] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,816: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,816: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,817: +PARAM [/move_base/TebLocalPlannerROS/legacy_obstacle_association] by /roslaunch
[rosmaster.master][INFO] 2021-08-28 13:41:52,817: +PARAM [/amcl/initial_cov_xx] by /roslaunch
